"node_id","longitude","latitude","altitude"
65368198,-122.468191,37.760218,87
65343624,-122.457589,37.735561,222
315429861,-122.459526,37.740708,155
315429873,-122.461086,37.7405215,128
65319080,-122.445834,37.734863,164
313880539,-122.463527,37.7438878,151
259407047,-122.407362,37.7358188,2
313880554,-122.46381,37.7439217,151
313880558,-122.463939,37.7437385,151
360877786,-122.421925,37.7338862,62
360877790,-122.422037,37.7340898,62
65319116,-122.448828,37.7359175,179
65319118,-122.449993,37.735841,189
313880571,-122.463724,37.743562,151
313880575,-122.463484,37.7436638,151
65343723,-122.40869,37.744427,39
65294542,-122.426104,37.762631,23
65294547,-122.426366,37.7635428,29
65343736,-122.442578,37.7290887,61
65343739,-122.446564,37.729083,88
65343740,-122.448849,37.729073,99
65343743,-122.45244,37.729058,110
65343772,-122.45718,37.7466585,144
259407152,-122.407963,37.7367469,5
388003954,-122.471708,37.7376152,100
388003970,-122.471828,37.7374736,100
65343810,-122.453913,37.7456662,171
65294626,-122.453802,37.736677,256
65294632,-122.453783,37.73602,236
65343821,-122.454643,37.7461481,173
65343828,-122.455458,37.7463721,167
442846384,-122.44292,37.7632777,143
65319247,-122.485281,37.7146885,10
388004001,-122.471777,37.7370799,100
65294667,-122.458972,37.7405795,155
65294676,-122.45984,37.741061,165
65343865,-122.455475,37.7462838,167
315430086,-122.462811,37.7404063,123
65294688,-122.461942,37.743006,145
65294693,-122.46286,37.743384,143
65343884,-122.45387,37.7457341,171
65343907,-122.410191,37.738923,34
65294721,-122.455641,37.734755,211
65343911,-122.409003,37.738865,25
65343941,-122.437918,37.71177,81
65294756,-122.453094,37.735102,224
65294765,-122.451698,37.735148,211
259407331,-122.410735,37.734692,23
65344023,-122.451241,37.722127,96
315430252,-122.460399,37.7410647,165
315430265,-122.463751,37.743324,143
65294877,-122.451686,37.7456086,183
65294883,-122.450589,37.7442343,180
65294885,-122.449911,37.7434131,175
65344078,-122.438792,37.727211,43
301215542,-122.459962,37.7246785,86
65344086,-122.440317,37.724681,47
65344088,-122.440482,37.724247,50
65344090,-122.440672,37.723948,50
65344102,-122.438635,37.728156,46
65344106,-122.439097,37.728404,48
65344112,-122.435503,37.736788,118
65294931,-122.445964,37.741199,149
323373875,-122.436394,37.7314835,84
65344130,-122.470714,37.716089,76
65344132,-122.470779,37.721637,62
315430352,-122.462347,37.7407964,123
315430357,-122.463016,37.7414513,128
388004321,-122.475127,37.735968,78
65344165,-122.444008,37.761282,145
315430391,-122.461472,37.7409086,123
315430398,-122.462592,37.7420646,138
315430402,-122.463855,37.7425915,135
65295000,-122.443661,37.7365216,155
65319601,-122.42168,37.742821,30
65319603,-122.420576,37.742372,33
388004357,-122.473288,37.7360007,95
360878280,-122.421797,37.7340287,62
65319630,-122.420019,37.745389,30
65319631,-122.420153,37.7467733,32
65319633,-122.420295,37.7480705,28
65344227,-122.443188,37.756039,141
65319635,-122.420354,37.748907,30
65319637,-122.420665,37.752104,30
65344233,-122.442931,37.755479,149
65319641,-122.420812,37.753703,26
65319643,-122.420964,37.755295,28
65319645,-122.421041,37.756102,28
65319647,-122.421194,37.757701,23
65319650,-122.421272,37.758499,19
65344245,-122.442387,37.754816,162
65319652,-122.421365,37.7593796,18
65319656,-122.421578,37.761701,14
65319658,-122.421662,37.762579,16
65295073,-122.445246,37.717521,58
65295079,-122.446263,37.718264,68
65295082,-122.447792,37.718865,74
65319692,-122.467309,37.7277742,87
65295108,-122.470365,37.745159,152
65295111,-122.471489,37.745109,142
65344298,-122.44361,37.752312,178
65295113,-122.472184,37.745078,135
65319707,-122.469274,37.727077,78
65295116,-122.472925,37.745044,135
65295118,-122.473684,37.745012,130
65295120,-122.474754,37.744964,122
65344317,-122.44372,37.7515109,180
65368918,-122.412917,37.7334186,11
65344347,-122.443258,37.750132,174
65368944,-122.42616,37.7310986,42
65368973,-122.418402,37.745735,23
65344385,-122.436357,37.736861,119
65344387,-122.436156,37.73654,118
65319799,-122.473443,37.756845,130
65319803,-122.473683,37.756237,130
65319804,-122.473133,37.75252,132
65319805,-122.473003,37.750652,141
65344399,-122.4321,37.753823,97
65319806,-122.472873,37.748787,155
65295223,-122.507193,37.743535,1
271433750,-122.427875,37.7597032,26
271433751,-122.427753,37.759719,26
65319828,-122.472529,37.743925,131
360878507,-122.421548,37.7337979,62
259407790,-122.419447,37.7316781,19
65369025,-122.465845,37.738494,110
358861889,-122.445038,37.748483,218
65295249,-122.409382,37.7335588,6
65319846,-122.472482,37.7431912,125
65319849,-122.472353,37.741332,111
65319853,-122.472221,37.739466,103
65319864,-122.473913,37.763703,75
65319866,-122.473652,37.759975,99
259407832,-122.43416,37.7334915,56
263145971,-122.429576,37.73099,32
263145972,-122.429619,37.7310986,45
259407842,-122.435012,37.733669,68
259407843,-122.435853,37.7338375,65
259407844,-122.436691,37.7340035,67
259407845,-122.43997,37.7348523,91
259407848,-122.412872,37.7337621,18
65319892,-122.420214,37.762666,13
65319894,-122.420128,37.761789,12
65319895,-122.419841,37.758585,16
422508630,-122.420193,37.7553445,25
422508632,-122.420194,37.7554457,25
358886641,-122.428865,37.7347128,81
65320018,-122.4496,37.764027,99
65320022,-122.451042,37.763843,102
358862071,-122.443668,37.749054,179
388004778,-122.473743,37.7371614,99
260194957,-122.438939,37.7564716,107
65320025,-122.4524,37.763669,104
271433971,-122.427195,37.7598004,26
271433978,-122.427187,37.7596918,26
271433979,-122.427097,37.7596733,21
271433980,-122.426998,37.7597122,21
271433982,-122.426992,37.759804,21
65320056,-122.432363,37.727717,44
65320066,-122.435196,37.7293,39
65320069,-122.436475,37.7304024,73
65369260,-122.438135,37.736709,103
436969507,-122.470639,37.7347396,89
65369293,-122.413991,37.738349,66
65369295,-122.414453,37.7333711,36
65369305,-122.413771,37.7421919,112
65369307,-122.413821,37.741522,109
259408089,-122.407703,37.7385539,12
422508871,-122.42033,37.7568624,22
65369329,-122.443513,37.758499,98
65369332,-122.443595,37.758234,98
442724325,-122.444826,37.7596565,140
65295592,-122.450448,37.756743,226
65295594,-122.451108,37.756714,226
65295600,-122.452126,37.756659,230
65295607,-122.438739,37.72248,45
65344794,-122.40698,37.738025,4
65295609,-122.43935,37.722733,45
65320239,-122.506685,37.7398094,7
65295665,-122.440439,37.728439,50
65295683,-122.441286,37.728827,54
65295691,-122.464683,37.746813,211
65295703,-122.463604,37.746676,195
65295706,-122.463572,37.745912,185
65295707,-122.464177,37.746404,205
259408300,-122.409047,37.7377129,45
65344952,-122.442652,37.724075,55
388005119,-122.473863,37.7372496,92
323374716,-122.434232,37.7313256,59
65344962,-122.441691,37.715573,61
65344973,-122.445909,37.718828,67
263146473,-122.426196,37.7312132,42
65344980,-122.450927,37.720813,96
65295805,-122.476522,37.714255,40
65369643,-122.440028,37.7453185,188
65295865,-122.441877,37.719081,45
65369646,-122.44127,37.745231,192
65295867,-122.442928,37.7182605,51
422509193,-122.428425,37.7620483,30
65369671,-122.443423,37.746601,184
388005269,-122.474927,37.7364351,81
271434452,-122.426445,37.7597945,21
65320521,-122.509622,37.762127,6
65320533,-122.508187,37.750968,3
65345130,-122.43228,37.764289,45
65369754,-122.439396,37.721238,45
65295984,-122.447852,37.739851,179
65296001,-122.448148,37.738073,202
315431447,-122.458107,37.746983,140
65369824,-122.435584,37.741612,169
315431450,-122.457257,37.7469016,149
65369828,-122.4358,37.742105,157
65369832,-122.436098,37.742519,157
65369838,-122.436472,37.742886,159
65369841,-122.437227,37.743421,162
315431472,-122.454356,37.7474309,175
279697854,-122.408188,37.7481673,11
65369863,-122.440088,37.74541,188
65369866,-122.440126,37.745581,188
65369869,-122.440148,37.745816,188
65369872,-122.440068,37.74655,173
65296096,-122.49537,37.747794,50
65369875,-122.440134,37.74678,173
65369878,-122.440281,37.746973,148
65369881,-122.440487,37.747139,156
65369883,-122.440818,37.747251,156
65369886,-122.440939,37.747256,156
65369888,-122.441105,37.747264,156
65369891,-122.441392,37.747207,161
65369894,-122.442112,37.746976,161
65369906,-122.443523,37.7466,184
65369908,-122.443638,37.746622,184
315431534,-122.454227,37.7465215,176
315431536,-122.454899,37.7470085,169
65369913,-122.443754,37.7466788,184
65369916,-122.443847,37.746739,186
65345340,-122.418698,37.76511,7
271434682,-122.425915,37.7588719,26
65369939,-122.443324,37.746602,184
65369941,-122.443189,37.746631,184
65296164,-122.426076,37.738358,73
65369945,-122.442395,37.746886,169
65296166,-122.425278,37.738209,67
65296183,-122.430741,37.740424,77
65296186,-122.431759,37.739803,115
65345374,-122.42756,37.764574,30
65296192,-122.411759,37.768693,5
65345379,-122.433124,37.7642806,52
65320787,-122.423749,37.7335785,62
65369981,-122.439968,37.745227,188
65296204,-122.412611,37.767538,4
65345390,-122.437253,37.7637646,113
65369983,-122.439764,37.74497,188
65320798,-122.423631,37.732878,55
65369987,-122.439529,37.744804,176
65296214,-122.413105,37.765448,12
65320809,-122.427839,37.734694,73
65296220,-122.413588,37.763823,8
65320814,-122.424774,37.7353172,66
65296223,-122.414032,37.762158,6
65296227,-122.413701,37.759992,7
422509554,-122.426226,37.7620959,23
65296229,-122.41369,37.7598958,7
65345416,-122.454078,37.757027,239
65370016,-122.43554,37.741486,169
65296239,-122.4136,37.758962,10
65370022,-122.435464,37.741267,151
65370023,-122.435438,37.740974,158
65296244,-122.413447,37.757363,15
65370025,-122.435521,37.740665,184
65296247,-122.413294,37.755766,17
65296249,-122.413141,37.754165,17
65296251,-122.412995,37.752573,19
65296254,-122.412687,37.74937,18
65296261,-122.412547,37.746825,17
65296264,-122.412329,37.744565,36
65345458,-122.45962,37.75416,194
65320876,-122.465044,37.731756,114
65345472,-122.452936,37.740223,184
65345475,-122.452993,37.740654,183
65345478,-122.453043,37.741317,177
360682822,-122.44337,37.7421701,143
315431702,-122.457326,37.7484897,157
65320901,-122.46542,37.730168,113
65296309,-122.435794,37.769058,77
65320909,-122.415389,37.749206,21
65296319,-122.435317,37.764102,70
65296321,-122.435259,37.763463,70
65296324,-122.435176,37.7627266,70
65296327,-122.435001,37.760889,46
65296328,-122.434698,37.757687,60
65296329,-122.434622,37.756887,57
65345517,-122.442565,37.714661,65
65296331,-122.434546,37.756093,71
65345518,-122.442137,37.713666,68
65296333,-122.43447,37.755289,88
65296334,-122.434394,37.754494,100
65345521,-122.441585,37.712381,81
65296337,-122.434317,37.75369,113
65345525,-122.44037,37.709451,108
65296340,-122.43424,37.752891,107
65296343,-122.434163,37.752092,98
65296346,-122.43409,37.751304,81
65345534,-122.419858,37.755366,25
65296348,-122.434007,37.750495,70
65345537,-122.419705,37.75377,25
65296351,-122.433851,37.748896,72
65296354,-122.433769,37.748097,67
65296356,-122.433697,37.747297,76
65345543,-122.419236,37.7489735,29
65345544,-122.419181,37.7481817,26
279698136,-122.412651,37.7488531,18
279698137,-122.4126,37.7483221,16
65296364,-122.433698,37.746494,89
65296368,-122.433522,37.7456975,98
65296369,-122.433466,37.744881,115
65296372,-122.433397,37.7440809,122
65345559,-122.459662,37.755024,185
65296374,-122.43332,37.743296,107
65345565,-122.46021,37.75463,185
65345571,-122.461806,37.72872,138
65296385,-122.433315,37.742495,98
65345573,-122.461524,37.729319,138
65296388,-122.433259,37.741903,98
65345582,-122.456952,37.7433648,166
65320995,-122.436535,37.763983,96
65321001,-122.436977,37.7647824,88
