"edge_id","source","target","length","car","car reverse","bike","bike reverse","foot","WKT"
0,65280377,65280380,115.460526,1,1,2,2,1,LINESTRING("-122.426 37.7337, -122.428 37.7336")
1,65280380,65280384,76.5996675,1,1,2,2,1,LINESTRING("-122.428 37.7336, -122.429 37.7335")
2,65280384,65280387,76.3247323,1,1,2,2,1,LINESTRING("-122.429 37.7335, -122.429 37.7334")
3,65280387,65280389,75.8008269,1,1,2,2,1,LINESTRING("-122.429 37.7334, -122.43 37.7333")
4,65280389,65280393,76.229608,1,1,2,2,1,LINESTRING("-122.43 37.7333, -122.431 37.7333, -122.431 37.7332")
5,65280393,351962612,94.6870087,1,1,2,2,1,LINESTRING("-122.431 37.7332, -122.432 37.733, -122.432 37.733, -122.432 37.733, -122.432 37.733")
6,358897396,65280502,247.304502,1,1,2,2,1,LINESTRING("-122.433 37.7333, -122.433 37.7332, -122.433 37.7331, -122.432 37.7329, -122.432 37.7327, -122.432 37.7324, -122.432 37.7321, -122.432 37.7317")
7,65280762,65280764,64.5656761,1,1,2,2,1,LINESTRING("-122.458 37.7518, -122.458 37.7522, -122.458 37.7523")
8,65280764,344386151,53.5828137,1,1,2,2,1,LINESTRING("-122.458 37.7523, -122.458 37.7523, -122.459 37.7524, -122.459 37.7524, -122.459 37.7523")
9,344386151,65280769,44.2645924,1,1,2,2,1,LINESTRING("-122.459 37.7523, -122.459 37.7523, -122.459 37.7519")
10,65280769,65280771,22.6394313,1,1,2,2,1,LINESTRING("-122.459 37.7519, -122.459 37.7517")
11,65280776,65280780,54.9481043,0,0,5,5,1,LINESTRING("-122.442 37.7537, -122.442 37.7534")
12,65280793,65280795,57.4880852,0,0,5,5,1,LINESTRING("-122.443 37.754, -122.442 37.7537")
13,65280798,65280835,367.544917,1,1,2,2,1,LINESTRING("-122.45 37.7511, -122.45 37.7512, -122.45 37.7513, -122.45 37.7514, -122.449 37.7519, -122.449 37.7524, -122.449 37.7526, -122.449 37.7528, -122.449 37.753, -122.449 37.7531, -122.449 37.7533, -122.449 37.7535, -122.449 37.7538, -122.45 37.7541")
14,65280848,258958632,12.5659338,1,1,2,2,1,LINESTRING("-122.453 37.7446, -122.453 37.7445")
15,258958632,325147813,17.0548297,1,1,2,2,1,LINESTRING("-122.453 37.7445, -122.453 37.7444")
16,325147813,65280850,78.4082805,1,1,2,2,1,LINESTRING("-122.453 37.7444, -122.453 37.7439")
17,65280850,65280873,113.591009,1,1,2,2,1,LINESTRING("-122.453 37.7439, -122.452 37.7437, -122.452 37.7436, -122.452 37.7435, -122.452 37.7435, -122.452 37.7435, -122.452 37.7435, -122.452 37.7435, -122.452 37.7436")
18,65282931,65282934,41.0102906,1,1,2,2,1,LINESTRING("-122.45 37.7433, -122.45 37.743")
19,65282949,351962611,131.984479,4,0,2,0,1,LINESTRING("-122.431 37.7339, -122.432 37.7333")
20,65282960,65280405,66.647081,4,0,2,0,1,LINESTRING("-122.431 37.7335, -122.432 37.7331")
21,65283026,65283028,10.5809212,1,1,2,2,1,LINESTRING("-122.437 37.744, -122.437 37.7439")
22,65283028,65283026,110.754265,1,1,2,2,1,LINESTRING("-122.437 37.7439, -122.437 37.7438, -122.436 37.7437, -122.436 37.7437, -122.436 37.7439, -122.436 37.744, -122.436 37.744, -122.436 37.7441, -122.437 37.744")
23,65283086,65283094,110.009889,1,1,2,2,1,LINESTRING("-122.434 37.735, -122.434 37.735, -122.433 37.7346, -122.433 37.7345")
24,65283117,65283125,70.6477391,1,1,2,2,1,LINESTRING("-122.435 37.7353, -122.436 37.7355, -122.436 37.7355")
25,65283861,65283863,82.4769764,1,1,2,2,1,LINESTRING("-122.454 37.7437, -122.454 37.7432")
26,65284418,65284433,217.498463,4,0,3,0,1,LINESTRING("-122.429 37.7346, -122.43 37.7346, -122.43 37.7344, -122.431 37.734, -122.431 37.7338, -122.432 37.7338")
27,65286177,65286184,69.2390565,1,1,2,2,1,LINESTRING("-122.448 37.7469, -122.448 37.7469, -122.447 37.7469, -122.447 37.7469")
28,65286184,65286187,40.3867969,1,1,2,2,1,LINESTRING("-122.447 37.7469, -122.447 37.7468")
29,65286536,65286540,91.7681199,1,1,2,2,1,LINESTRING("-122.463 37.7331, -122.462 37.7332, -122.462 37.733")
30,65286540,65286547,127.230104,1,1,2,2,1,LINESTRING("-122.462 37.733, -122.462 37.733, -122.461 37.733, -122.461 37.7327, -122.46 37.7326")
31,65286641,65286643,76.4240942,1,1,2,2,1,LINESTRING("-122.463 37.75, -122.464 37.7496")
32,65286776,65286791,79.9657649,1,1,2,2,1,LINESTRING("-122.463 37.7508, -122.463 37.7503, -122.463 37.7502")
33,358897396,65286844,740.371575,6,0,0,0,0,LINESTRING("-122.433 37.7333, -122.433 37.7332, -122.434 37.7326, -122.435 37.7322, -122.435 37.7318, -122.436 37.7314, -122.437 37.7311, -122.438 37.7307, -122.44 37.7301, -122.44 37.7298")
34,65287158,65287172,206.849355,1,1,2,2,1,LINESTRING("-122.459 37.7418, -122.458 37.7423, -122.458 37.7422, -122.457 37.7422, -122.457 37.7422, -122.457 37.7421, -122.457 37.7421")
35,65287440,65287442,42.057852,1,1,2,2,1,LINESTRING("-122.449 37.7467, -122.45 37.7468, -122.45 37.7468")
36,65287442,65287456,145.378138,1,1,2,2,1,LINESTRING("-122.45 37.7468, -122.451 37.7468, -122.451 37.7469, -122.451 37.7469, -122.451 37.7474")
37,65287456,65287458,86.1769383,1,1,2,2,1,LINESTRING("-122.451 37.7474, -122.452 37.748")
38,65287458,65287464,85.0421247,1,1,2,2,1,LINESTRING("-122.452 37.748, -122.452 37.7483, -122.452 37.7484, -122.452 37.7487")
